"data" "minima" "pd"
2018-07-21 0.243 "morn"
2018-11-03 0.649 "dawn"
2020-05-27 0.516 "night"
2020-01-26 0.571 "after"
2017-10-22 0.84 "after"
2017-09-17 0.38 "dawn"
2017-11-02 0.28 "dawn"
2018-02-22 0.88 "after"
2019-09-24 0.669 "dawn"
2019-04-07 0.61 "after"
2018-01-05 0.65 "morn"
2019-02-18 0.821 "night"
2019-01-22 0.493 "dawn"
2020-10-31 0.235 "morn"
2017-06-02 0.74 "dawn"
2018-09-25 0.756 "night"
2018-12-08 0.344 "dawn"
2017-10-23 0.52 "night"
2017-12-13 0.75 "after"
2019-04-20 0.813 "morn"
2019-04-28 0.668 "dawn"
2018-08-07 0.428 "after"
2018-09-18 0.36 "morn"
2019-08-05 0.43 "after"
2020-02-05 0.604 "after"
2020-03-05 0.617 "dawn"
2017-11-05 0.7 "after"
2019-03-03 0.817 "night"
2018-10-21 0.722 "night"
2018-07-07 0.613 "morn"
2018-04-13 0.78 "morn"
2019-07-30 0.197 "morn"
2018-07-10 0.834 "morn"
2020-05-08 0.688 "after"
2020-03-05 0.702 "after"
2019-08-10 0.781 "dawn"
2020-07-18 0.521 "morn"
2019-10-17 0.816 "morn"
2018-11-15 0.865 "night"
2018-10-01 0.239 "morn"
2017-02-03 0.72 "after"
2017-04-09 0.6 "dawn"
2020-06-15 0.777 "morn"
2019-12-15 0.797 "dawn"
2020-01-25 0.491 "after"
2018-05-30 0.241 "dawn"
2020-08-21 0.199 "morn"
2019-03-21 0.642 "after"
2018-04-06 0.77 "after"
2020-11-18 0.322 "dawn"
2019-01-22 0.657 "after"
2017-11-28 0.76 "after"
2020-03-21 0.565 "dawn"
2017-11-18 0.8 "after"
2017-01-26 0.6 "dawn"
2018-09-20 0.517 "night"
2018-12-16 0.778 "night"
2020-09-20 0.387 "dawn"
2018-07-17 0.684 "after"
2017-11-20 0.74 "after"
2020-06-20 0.211 "morn"
2017-02-04 0.37 "night"
2020-09-22 0.531 "night"
2019-01-06 0.388 "dawn"
2019-08-06 0.435 "night"
2019-10-04 0.679 "dawn"
2018-03-19 0.86 "after"
2019-05-16 0.63 "after"
2018-08-09 0.338 "morn"
2018-11-25 0.504 "morn"
2017-08-08 0.18 "after"
2018-03-31 0.62 "night"
2018-04-17 0.7 "morn"
2018-02-26 0.83 "after"
2020-06-26 0.445 "morn"
2017-09-27 0.76 "morn"
2019-08-27 0.068 "after"
2018-10-20 0.774 "dawn"
2019-07-06 0.515 "after"
2020-02-24 0.47 "dawn"
2017-10-28 0.82 "after"
2020-06-19 0.375 "after"
2018-05-03 0.804 "morn"
2017-06-01 0.19 "after"
2018-06-21 0.532 "night"
2017-05-05 0.76 "dawn"
2018-09-12 0.799 "dawn"
2017-10-12 0.32 "dawn"
2019-09-16 0.928 "morn"
2017-08-08 0.73 "dawn"
2020-08-29 0.775 "after"
2020-09-11 0.735 "after"
2018-10-20 0.379 "after"
2017-06-14 0.82 "morn"
2018-01-24 0.47 "night"
2019-10-03 0.658 "dawn"
2020-04-22 0.621 "dawn"
2020-06-01 0.79 "dawn"
2020-03-29 0.832 "night"
2020-07-09 0.314 "dawn"
2019-02-15 0.799 "night"
2019-05-23 0.344 "dawn"
2017-12-01 0.65 "morn"
2018-07-03 0.668 "morn"
2016-12-29 0.35 "night"
2020-12-13 0.817 "night"
2020-02-22 0.617 "after"
2020-06-08 0.233 "after"
2019-09-25 0.711 "dawn"
2017-01-11 0.61 "dawn"
2018-04-11 0.68 "morn"
2020-05-20 0.521 "after"
2017-08-15 0.66 "dawn"
2020-01-14 0.466 "morn"
2019-02-12 0.827 "night"
2017-06-23 0.85 "morn"
2019-06-25 0.503 "night"
2020-11-26 0.614 "after"
2018-02-04 0.79 "after"
2018-07-14 0.71 "dawn"
2020-04-30 0.751 "after"
2019-04-12 0.703 "dawn"
2020-06-24 0.671 "morn"
2018-12-17 0.646 "after"
2018-10-08 0.176 "after"
2019-07-25 0.39 "after"
2018-12-24 0.453 "dawn"
2019-12-06 0.691 "night"
2020-12-18 0.818 "night"
2017-10-23 0.77 "morn"
2019-02-10 0.367 "morn"
2018-12-28 0.467 "dawn"
2020-07-15 0.597 "night"
2018-06-17 0.767 "morn"
2019-04-20 0.474 "night"
2019-02-25 0.652 "after"
2019-11-25 0.729 "dawn"
2017-01-22 0.59 "dawn"
2017-01-02 0.76 "morn"
2019-07-02 0.426 "night"
2018-05-25 0.343 "night"
2020-09-08 0.398 "morn"
2017-02-24 0.59 "dawn"
2019-06-03 0.198 "night"
2019-02-01 0.815 "night"
2019-12-15 0.61 "night"
2020-10-10 0.919 "night"
2018-12-09 0.216 "morn"
2017-07-16 0.78 "morn"
2019-01-19 0.628 "after"
2018-11-28 0.701 "after"
2020-05-22 0.29 "night"
2017-01-24 0.44 "after"
2017-12-08 0.49 "night"
2018-12-22 0.794 "night"
2019-02-12 0.658 "after"
2017-03-23 0.48 "night"
2019-11-18 0.653 "night"
2018-11-24 0.775 "night"
2018-03-25 0.33 "dawn"
2019-03-26 0.375 "night"
2020-12-18 0.477 "morn"
2019-03-01 0.698 "after"
2016-12-22 0.41 "night"
2017-12-09 0.83 "after"
2020-01-25 0.386 "dawn"
2017-12-25 0.58 "night"
2020-07-13 0.886 "dawn"
2019-04-01 0.442 "after"
2018-07-28 0.127 "night"
2019-06-25 0.757 "morn"
2017-07-11 0.69 "after"
2019-12-05 0.854 "dawn"
2019-07-13 0.272 "night"
2020-04-06 0.41 "dawn"
2018-07-12 0.32 "night"
2019-02-21 0.38 "morn"
2019-03-29 0.535 "night"
2020-05-29 0.528 "after"
2020-07-26 0.167 "night"
2019-11-19 0.335 "morn"
2020-02-17 0.593 "after"
2018-05-18 0.738 "after"
2020-07-17 0.646 "night"
2018-09-04 0.701 "dawn"
2019-10-25 0.193 "after"
2020-10-12 0.665 "after"
2018-10-16 0.672 "night"
2020-12-02 0.435 "dawn"
2020-01-01 0.618 "after"
2018-08-11 0.569 "night"
2018-01-03 0.72 "after"
2017-07-28 0.59 "after"
2019-07-20 0.686 "after"
2017-08-30 0.48 "night"
2020-08-10 0.703 "night"
2018-09-10 0.945 "dawn"
2018-06-15 0.105 "night"
2018-05-26 0.801 "morn"
2020-09-20 0.899 "night"
